function_name,current_args,family,action
premium_xy,"mortality_table, age_x, age_y, rate, rate_type, m, insurance_type, benefit, term_years, deferment_years, payments_per_year, frac, premium_timing, premium_start, premium_term_years, cohort, output, check, tol",life_two_life_products,standardize_args
present_value,"amount, rate, rate_type, m, time, output",FM_time_value,standardize_args
pv_flow,"payment, rate, type, m, time, date, day_count",FM_time_value,standardize_args
reserve_x,"mortality_table, age, rate, rate_type, m, insurance_type, term_years, benefit, premium, premium_term_years, durations, method, output",life_single_products,standardize_args
reserve_xy,"mortality_table, age_x, age_y, rate, rate_type, m, insurance_type, cohort, term_years, benefit, premium, premium_term_years, payments_per_year, premium_timing, at, method, output",life_two_life_products,standardize_args
s_angle,"n_years, payments_per_year, rate, rate_type, m, deferral_years, timing, payment, output",FM_annuities,standardize_args
simulate_annuity_x,"mortality_table, age, rate, rate_type, m, term_years, payments_per_year, timing, payment, method, n_sim, seed, output",monte_carlo,standardize_args
simulate_insurance_x,"mortality_table, age, rate, rate_type, m, insurance_type, term_years, benefit, method, n_sim, seed, output",monte_carlo,standardize_args
simulate_lifetime,"data, age, n_sim, age_col, qx_col, method, fractional, seed, include_distribution",monte_carlo,standardize_args
simulate_lifetimes,"data, ages, n_sim, life_id, age_col, qx_col, method, fractional, seed",monte_carlo,standardize_args
sinking_fund_schedule,"principal, n, i_loan, i_fund, deposit, tol",FM_amortization,standardize_args
standardize_interest,"type, rate, m",FM_time_value,standardize_args
summary_mc,".data, value_col, group_cols, by, probs, var_probs, na_rm",monte_carlo,standardize_args
t_Ex,"lt, x, t, i, frac, tidy, check, tol",life_survival_primitives,review_or_keep
t_px,"lt, x, t, frac, tidy, check, tol",life_survival_primitives,review_or_keep
t_pxy,"lt, x, y, t, frac, status",life_survival_primitives,review_or_keep
t_qx,"lt, x, t, frac, tidy, check, tol",life_survival_primitives,review_or_keep
t_qxj,"md, x, t, cause, frac, tidy, check, tol",life_survival_primitives,review_or_keep
yield_curve,".data, term, spot, col_term, col_spot, plot, .out, .out_plot, .keep, .na",FM_time_value,standardize_args
