country,country_code,continent,region,year,sex,age,mx,qx,px,lx,dx,source
Australia,36,Oceania,Australia/New Zealand,2023,both,31,5e-6,4.999987500031251e-6,0.9999950000125,99524.38437684183,0.4976206778325147,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,32,2.602e-5,2.601966148420409e-5,0.9999739803385158,99523.886756164,2.58957784298765,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,33,1.731e-5,1.7309850183246662e-5,0.9999826901498168,99521.29717832101,1.7226987441991055,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,34,2.405e-5,2.4049710802227603e-5,0.9999759502891977,99519.57447957683,2.3934169853945733,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,35,5.191e-5,5.1908652710918895e-5,0.9999480913472891,99517.18106259142,5.165802790547692,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,36,8.017e-5,8.016678651436257e-5,0.9999198332134857,99512.01525980087,7.9775584829464465,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,37,3.093e-5,3.0929521674947294e-5,0.9999690704783251,99504.03770131792,3.0776122908276853,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,38,1.0201e-4,1.020047972453165e-4,0.9998979952027547,99500.9600890271,10.149575259595538,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,39,2.2716e-4,2.2713420209732576e-4,0.9997728657979027,99490.81051376752,22.597765862060815,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,40,3.4391e-4,3.4385087312311215e-4,0.9996561491268768,99468.21274790545,34.202231801362764,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,41,3.3509e-4,3.3503386675079526e-4,0.9996649661332492,99434.01051610408,33.31376102974959,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,42,4.0783e-4,4.0774685430020535e-4,0.9995922531456998,99400.69675507434,40.530321417130196,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,43,5.9089e-4,5.907154760661737e-4,0.9994092845239338,99360.1664336572,58.69358801687206,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,44,7.1484e-4,7.145845931747075e-4,0.9992854154068253,99301.47284564032,70.95930257505115,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,45,9.7077e-4,9.702990314046418e-4,0.9990297009685953,99230.51354306527,96.28327117662143,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,46,0.0011652,0.0011645215497451185,0.9988354784502549,99134.23027188865,115.44394746900922,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,47,0.00128251,0.001281688111090323,0.9987183118889097,99018.78632441963,126.9112012066017,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,48,0.00149293,0.001491816411262567,0.9985081835887374,98891.87512321305,147.5285222493376,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,49,0.00176439,0.001762834835921924,0.9982371651640781,98744.34660096369,174.06997403852742,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,50,0.00177653,0.0017749533710438698,0.9982250466289562,98570.27662692517,174.9576447836876,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,51,0.00199396,0.001991974041719886,0.9980080259582801,98395.31898214149,196.00092123917378,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,52,0.00221472,0.0022122702204486837,0.9977877297795513,98199.31806090233,217.2434270145028,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,53,0.00236015,0.0023573681288054003,0.9976426318711946,97982.07463388782,230.9798199361592,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,54,0.00297243,0.0029680188858116235,0.9970319811141883,97751.09481395165,290.12709551657116,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,55,0.00324131,0.003236065454341095,0.9967639345456589,97460.96771843507,315.3900707802804,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,56,0.00374954,0.003742523628976105,0.9962574763710239,97145.5776476548,363.56961979688106,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,57,0.00427749,0.004268361064115927,0.9957316389358841,96782.00802785793,413.10055477306383,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,58,0.00523645,0.005222775598358987,0.994777224401641,96368.90747308487,503.3131783909427,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,59,0.00620285,0.006183671805670099,0.9938163281943299,95865.59429469392,592.8013725739071,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,60,0.00707964,0.007054667746019285,0.9929453322539807,95272.79292212,672.1178993008544,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,61,0.00824336,0.008209522973351199,0.9917904770266488,94600.67502281915,776.6264148943648,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,62,0.008757,0.008718824626373422,0.9912811753736266,93824.0486079248,818.0354255488317,"United Nations, World Population Prospects 2024"
