table,sex,x,lx,dx,qx,px,mu,ex,source,qx_calculated,qx_difference
Asegurados_1998_2003,female,39,96877,210,0.002168,0.997832,NA,39.91,r1112_07,0.0021677,3e-7
Asegurados_1998_2003,female,40,96667,217,0.002245,0.997755,NA,39,r1112_07,0.00224482,1.8e-7
Asegurados_1998_2003,female,41,96450,223,0.002312,0.997688,NA,38.08,r1112_07,0.00231208,-8e-8
Asegurados_1998_2003,female,42,96227,230,0.00239,0.99761,NA,37.17,r1112_07,0.00239018,-1.8e-7
Asegurados_1998_2003,female,43,95997,236,0.002458,0.997542,NA,36.26,r1112_07,0.00245841,-4.1e-7
Asegurados_1998_2003,female,44,95761,243,0.002538,0.997462,NA,35.35,r1112_07,0.00253757,4.3e-7
Asegurados_1998_2003,female,45,95518,250,0.002617,0.997383,NA,34.44,r1112_07,0.00261731,-3.1e-7
Asegurados_1998_2003,female,46,95268,257,0.002698,0.997302,NA,33.53,r1112_07,0.00269765,3.5e-7
Asegurados_1998_2003,female,47,95011,264,0.002779,0.997221,NA,32.61,r1112_07,0.00277863,3.7e-7
Asegurados_1998_2003,female,48,94747,272,0.002871,0.997129,NA,31.7,r1112_07,0.0028708,2e-7
Asegurados_1998_2003,female,49,94475,282,0.002985,0.997015,NA,30.79,r1112_07,0.00298492,8e-8
Asegurados_1998_2003,female,50,94193,294,0.003121,0.996879,NA,29.88,r1112_07,0.00312125,-2.5e-7
Asegurados_1998_2003,female,51,93899,309,0.003291,0.996709,NA,28.98,r1112_07,0.00329077,2.3e-7
Asegurados_1998_2003,female,52,93590,329,0.003515,0.996485,NA,28.07,r1112_07,0.00351533,-3.3e-7
Asegurados_1998_2003,female,53,93261,353,0.003785,0.996215,NA,27.17,r1112_07,0.00378508,-8e-8
Asegurados_1998_2003,female,54,92908,384,0.004133,0.995867,NA,26.27,r1112_07,0.00413312,-1.2e-7
Asegurados_1998_2003,female,55,92524,421,0.00455,0.99545,NA,25.38,r1112_07,0.00455017,-1.7e-7
Asegurados_1998_2003,female,56,92103,467,0.00507,0.99493,NA,24.49,r1112_07,0.00507041,-4.1e-7
Asegurados_1998_2003,female,57,91636,521,0.005686,0.994314,NA,23.61,r1112_07,0.00568554,4.6e-7
Asegurados_1998_2003,female,58,91115,584,0.006409,0.993591,NA,22.74,r1112_07,0.00640948,-4.8e-7
Asegurados_1998_2003,female,59,90531,655,0.007235,0.992765,NA,21.89,r1112_07,0.00723509,-9e-8
Asegurados_1998_2003,female,60,89876,731,0.008133,0.991867,NA,21.04,r1112_07,0.00813343,-4.3e-7
Asegurados_1998_2003,female,61,89145,811,0.009098,0.990902,NA,20.21,r1112_07,0.00909754,4.6e-7
Asegurados_1998_2003,female,62,88334,891,0.010087,0.989913,NA,19.39,r1112_07,0.01008672,2.8e-7
Asegurados_1998_2003,female,63,87443,972,0.011116,0.988884,NA,18.59,r1112_07,0.01111581,1.9e-7
Asegurados_1998_2003,female,64,86471,1045,0.012085,0.987915,NA,17.79,r1112_07,0.01208498,2e-8
Asegurados_1998_2003,female,65,85426,1116,0.013064,0.986936,NA,17,r1112_07,0.01306394,6e-8
Asegurados_1998_2003,female,66,84310,1180,0.013996,0.986004,NA,16.22,r1112_07,0.01399597,3e-8
Asegurados_1998_2003,female,67,83130,1242,0.01494,0.98506,NA,15.44,r1112_07,0.01494045,-4.5e-7
Asegurados_1998_2003,female,68,81888,1332,0.016266,0.983734,NA,14.67,r1112_07,0.01626612,-1.2e-7
Asegurados_1998_2003,female,69,80556,1403,0.017416,0.982584,NA,13.9,r1112_07,0.01741646,-4.6e-7
Asegurados_1998_2003,female,70,79153,1483,0.018736,0.981264,NA,13.14,r1112_07,0.01873587,1.3e-7
Asegurados_1998_2003,female,71,77670,1582,0.020368,0.979632,NA,12.38,r1112_07,0.02036822,-2.2e-7
Asegurados_1998_2003,female,72,76088,1699,0.022329,0.977671,NA,11.63,r1112_07,0.02232941,-4.1e-7
Asegurados_1998_2003,female,73,74389,1855,0.024936,0.975064,NA,10.88,r1112_07,0.02493648,-4.8e-7
Asegurados_1998_2003,female,74,72534,2050,0.028263,0.971737,NA,10.15,r1112_07,0.02826261,3.9e-7
Asegurados_1998_2003,female,75,70484,2285,0.032419,0.967581,NA,9.43,r1112_07,0.0324187,3e-7
Asegurados_1998_2003,female,76,68199,2561,0.037552,0.962448,NA,8.73,r1112_07,0.03755187,1.3e-7
Asegurados_1998_2003,female,77,65638,2875,0.043801,0.956199,NA,8.05,r1112_07,0.04380085,1.5e-7
Asegurados_1998_2003,female,78,62763,3235,0.051543,0.948457,NA,7.4,r1112_07,0.05154311,-1.1e-7
Asegurados_1998_2003,female,79,59528,3691,0.062004,0.937996,NA,6.77,r1112_07,0.06200443,-4.3e-7
Asegurados_1998_2003,female,80,55837,4230,0.075756,0.924244,NA,6.18,r1112_07,0.07575622,-2.2e-7
Asegurados_1998_2003,female,81,51607,4700,0.091073,0.908927,NA,5.65,r1112_07,0.09107292,8e-8
Asegurados_1998_2003,female,82,46907,4889,0.104228,0.895772,NA,5.17,r1112_07,0.10422751,4.9e-7
Asegurados_1998_2003,female,83,42018,5036,0.119853,0.880147,NA,4.71,r1112_07,0.1198534,-4e-7
Asegurados_1998_2003,female,84,36982,5061,0.13685,0.86315,NA,4.28,r1112_07,0.13685036,-3.6e-7
Asegurados_1998_2003,female,85,31921,4949,0.155039,0.844961,NA,3.88,r1112_07,0.155039,0
Asegurados_1998_2003,female,86,26972,4770,0.17685,0.82315,NA,3.5,r1112_07,0.17685007,-7e-8
Asegurados_1998_2003,female,87,22202,4501,0.202729,0.797271,NA,3.15,r1112_07,0.20272948,-4.8e-7
Asegurados_1998_2003,female,88,17701,4106,0.231964,0.768036,NA,2.82,r1112_07,0.2319643,-3e-7
Asegurados_1998_2003,female,89,13595,3609,0.265465,0.734535,NA,2.52,r1112_07,0.26546524,-2.4e-7
Asegurados_1998_2003,female,90,9986,3019,0.302323,0.697677,NA,2.25,r1112_07,0.30232325,-2.5e-7
Asegurados_1998_2003,female,91,6967,2369,0.340032,0.659968,NA,2.01,r1112_07,0.34003158,4.2e-7
Asegurados_1998_2003,female,92,4598,1756,0.381905,0.618095,NA,1.79,r1112_07,0.38190518,-1.8e-7
Asegurados_1998_2003,female,93,2842,1216,0.427868,0.572132,NA,1.59,r1112_07,0.4278677,3e-7
Asegurados_1998_2003,female,94,1626,778,0.478475,0.521525,NA,1.41,r1112_07,0.47847478,2.2e-7
Asegurados_1998_2003,female,95,848,452,0.533019,0.466981,NA,1.24,r1112_07,0.53301887,1.3e-7
Asegurados_1998_2003,female,96,396,235,0.593434,0.406566,NA,1.09,r1112_07,0.59343434,-3.4e-7
Asegurados_1998_2003,female,97,161,106,0.658385,0.341615,NA,0.95,r1112_07,0.65838509,-9e-8
Asegurados_1998_2003,female,98,55,40,0.727273,0.272727,NA,0.83,r1112_07,0.72727273,2.7e-7
Asegurados_1998_2003,female,99,15,12,0.8,0.2,NA,0.7,r1112_07,0.8,0
Asegurados_1998_2003,female,100,3,3,1,0,NA,0.5,r1112_07,1,0
Asegurados_1998_2003,male,20,100000,356,0.00356,0.99644,NA,54.31,r1112_07,0.00356,0
Asegurados_1998_2003,male,21,99644,358,0.003593,0.996407,NA,53.5,r1112_07,0.00359279,2.1e-7
Asegurados_1998_2003,male,22,99286,361,0.003636,0.996364,NA,52.69,r1112_07,0.00363596,4e-8
Asegurados_1998_2003,male,23,98925,364,0.00368,0.99632,NA,51.88,r1112_07,0.00367956,4.4e-7
Asegurados_1998_2003,male,24,98561,366,0.003713,0.996287,NA,51.07,r1112_07,0.00371344,-4.4e-7
Asegurados_1998_2003,male,25,98195,366,0.003727,0.996273,NA,50.26,r1112_07,0.00372728,-2.8e-7
Asegurados_1998_2003,male,26,97829,367,0.003751,0.996249,NA,49.45,r1112_07,0.00375144,-4.4e-7
Asegurados_1998_2003,male,27,97462,367,0.003766,0.996234,NA,48.63,r1112_07,0.00376557,4.3e-7
Asegurados_1998_2003,male,28,97095,367,0.00378,0.99622,NA,47.81,r1112_07,0.0037798,2e-7
Asegurados_1998_2003,male,29,96728,367,0.003794,0.996206,NA,46.99,r1112_07,0.00379414,-1.4e-7
Asegurados_1998_2003,male,30,96361,366,0.003798,0.996202,NA,46.17,r1112_07,0.00379822,-2.2e-7
Asegurados_1998_2003,male,31,95995,366,0.003813,0.996187,NA,45.34,r1112_07,0.0038127,3e-7
Asegurados_1998_2003,male,32,95629,366,0.003827,0.996173,NA,44.51,r1112_07,0.00382729,-2.9e-7
Asegurados_1998_2003,male,33,95263,365,0.003831,0.996169,NA,43.68,r1112_07,0.0038315,-5e-7
Asegurados_1998_2003,male,34,94898,366,0.003857,0.996143,NA,42.85,r1112_07,0.00385677,2.3e-7
Asegurados_1998_2003,male,35,94532,366,0.003872,0.996128,NA,42.01,r1112_07,0.0038717,3e-7
Asegurados_1998_2003,male,36,94166,365,0.003876,0.996124,NA,41.18,r1112_07,0.00387613,-1.3e-7
Asegurados_1998_2003,male,37,93801,365,0.003891,0.996109,NA,40.33,r1112_07,0.00389122,-2.2e-7
Asegurados_1998_2003,male,38,93436,365,0.003906,0.996094,NA,39.49,r1112_07,0.00390642,-4.2e-7
Asegurados_1998_2003,male,39,93071,365,0.003922,0.996078,NA,38.64,r1112_07,0.00392174,2.6e-7
Asegurados_1998_2003,male,40,92706,366,0.003948,0.996052,NA,37.79,r1112_07,0.00394796,4e-8
Asegurados_1998_2003,male,41,92340,367,0.003974,0.996026,NA,36.94,r1112_07,0.00397444,-4.4e-7
Asegurados_1998_2003,male,42,91973,368,0.004001,0.995999,NA,36.09,r1112_07,0.00400117,-1.7e-7
Asegurados_1998_2003,male,43,91605,369,0.004028,0.995972,NA,35.23,r1112_07,0.00402816,-1.6e-7
Asegurados_1998_2003,male,44,91236,371,0.004066,0.995934,NA,34.37,r1112_07,0.00406638,-3.8e-7
Asegurados_1998_2003,male,45,90865,372,0.004094,0.995906,NA,33.51,r1112_07,0.00409399,1e-8
Asegurados_1998_2003,male,46,90493,374,0.004133,0.995867,NA,32.64,r1112_07,0.00413292,8e-8
Asegurados_1998_2003,male,47,90119,376,0.004172,0.995828,NA,31.78,r1112_07,0.00417226,-2.6e-7
Asegurados_1998_2003,male,48,89743,379,0.004223,0.995777,NA,30.91,r1112_07,0.00422317,-1.7e-7
Asegurados_1998_2003,male,49,89364,384,0.004297,0.995703,NA,30.04,r1112_07,0.00429703,-3e-8
Asegurados_1998_2003,male,50,88980,392,0.004405,0.995595,NA,29.16,r1112_07,0.00440548,-4.8e-7
Asegurados_1998_2003,male,51,88588,404,0.00456,0.99544,NA,28.29,r1112_07,0.00456044,-4.4e-7
Asegurados_1998_2003,male,52,88184,422,0.004785,0.995215,NA,27.42,r1112_07,0.00478545,-4.5e-7
Asegurados_1998_2003,male,53,87762,445,0.005071,0.994929,NA,26.55,r1112_07,0.00507053,4.7e-7
Asegurados_1998_2003,male,54,87317,476,0.005451,0.994549,NA,25.68,r1112_07,0.0054514,-4e-7
Asegurados_1998_2003,male,55,86841,513,0.005907,0.994093,NA,24.82,r1112_07,0.00590735,-3.5e-7
Asegurados_1998_2003,male,56,86328,560,0.006487,0.993513,NA,23.96,r1112_07,0.00648689,1.1e-7
Asegurados_1998_2003,male,57,85768,615,0.007171,0.992829,NA,23.12,r1112_07,0.00717051,4.9e-7
Asegurados_1998_2003,male,58,85153,679,0.007974,0.992026,NA,22.28,r1112_07,0.00797388,1.2e-7
Asegurados_1998_2003,male,59,84474,750,0.008878,0.991122,NA,21.45,r1112_07,0.00887847,-4.7e-7
Asegurados_1998_2003,male,60,83724,826,0.009866,0.990134,NA,20.64,r1112_07,0.00986575,2.5e-7
Asegurados_1998_2003,male,61,82898,903,0.010893,0.989107,NA,19.84,r1112_07,0.0108929,1e-7
Asegurados_1998_2003,male,62,81995,979,0.01194,0.98806,NA,19.06,r1112_07,0.01193975,2.5e-7
Asegurados_1998_2003,male,63,81016,1054,0.01301,0.98699,NA,18.28,r1112_07,0.01300978,2.2e-7
Asegurados_1998_2003,male,64,79962,1119,0.013994,0.986006,NA,17.51,r1112_07,0.01399415,-1.5e-7
Asegurados_1998_2003,male,65,78843,1179,0.014954,0.985046,NA,16.76,r1112_07,0.01495377,2.3e-7
Asegurados_1998_2003,male,66,77664,1232,0.015863,0.984137,NA,16,r1112_07,0.01586321,-2.1e-7
Asegurados_1998_2003,male,67,76432,1281,0.01676,0.98324,NA,15.25,r1112_07,0.01676,0
Asegurados_1998_2003,male,68,75151,1357,0.018057,0.981943,NA,14.5,r1112_07,0.01805698,2e-8
Asegurados_1998_2003,male,69,73794,1413,0.019148,0.980852,NA,13.76,r1112_07,0.0191479,1e-7
Asegurados_1998_2003,male,70,72381,1477,0.020406,0.979594,NA,13.02,r1112_07,0.02040591,9e-8
Asegurados_1998_2003,male,71,70904,1558,0.021973,0.978027,NA,12.28,r1112_07,0.02197337,-3.7e-7
Asegurados_1998_2003,male,72,69346,1656,0.02388,0.97612,NA,11.55,r1112_07,0.02388025,-2.5e-7
Asegurados_1998_2003,male,73,67690,1790,0.026444,0.973556,NA,10.82,r1112_07,0.02644408,-8e-8
Asegurados_1998_2003,male,74,65900,1957,0.029697,0.970303,NA,10.1,r1112_07,0.02969651,4.9e-7
Asegurados_1998_2003,male,75,63943,2160,0.03378,0.96622,NA,9.39,r1112_07,0.03378009,-9e-8
Asegurados_1998_2003,male,76,61783,2397,0.038797,0.961203,NA,8.7,r1112_07,0.03879708,-8e-8
Asegurados_1998_2003,male,77,59386,2666,0.044893,0.955107,NA,8.03,r1112_07,0.04489274,2.6e-7
Asegurados_1998_2003,male,78,56720,2971,0.05238,0.94762,NA,7.39,r1112_07,0.05238011,-1.1e-7
Asegurados_1998_2003,male,79,53749,3359,0.062494,0.937506,NA,6.77,r1112_07,0.06249419,-1.9e-7
Asegurados_1998_2003,male,80,50390,3818,0.075769,0.924231,NA,6.18,r1112_07,0.075769,0
Asegurados_1998_2003,male,81,46572,4241,0.091063,0.908937,NA,5.65,r1112_07,0.0910633,-3e-7
Asegurados_1998_2003,male,82,42331,4412,0.104226,0.895774,NA,5.17,r1112_07,0.10422622,-2.2e-7
Asegurados_1998_2003,male,83,37919,4545,0.119861,0.880139,NA,4.71,r1112_07,0.11986076,2.4e-7
Asegurados_1998_2003,male,84,33374,4567,0.136843,0.863157,NA,4.28,r1112_07,0.13684305,-5e-8
Asegurados_1998_2003,male,85,28807,4466,0.155032,0.844968,NA,3.88,r1112_07,0.15503176,2.4e-7
Asegurados_1998_2003,male,86,24341,4305,0.176862,0.823138,NA,3.5,r1112_07,0.17686208,-8e-8
Asegurados_1998_2003,male,87,20036,4062,0.202735,0.797265,NA,3.15,r1112_07,0.20273508,-8e-8
Asegurados_1998_2003,male,88,15974,3706,0.232002,0.767998,NA,2.82,r1112_07,0.232002,0
Asegurados_1998_2003,male,89,12268,3257,0.265487,0.734513,NA,2.52,r1112_07,0.26548745,-4.5e-7
Asegurados_1998_2003,male,90,9011,2725,0.302408,0.697592,NA,2.25,r1112_07,0.30240817,-1.7e-7
Asegurados_1998_2003,male,91,6286,2138,0.340121,0.659879,NA,2.01,r1112_07,0.3401209,1e-7
Asegurados_1998_2003,male,92,4148,1584,0.381871,0.618129,NA,1.79,r1112_07,0.38187078,2.2e-7
Asegurados_1998_2003,male,93,2564,1097,0.427847,0.572153,NA,1.59,r1112_07,0.42784711,-1.1e-7
Asegurados_1998_2003,male,94,1467,702,0.478528,0.521472,NA,1.41,r1112_07,0.47852761,3.9e-7
Asegurados_1998_2003,male,95,765,408,0.533333,0.466667,NA,1.24,r1112_07,0.53333333,-3.3e-7
Asegurados_1998_2003,male,96,357,212,0.593838,0.406162,NA,1.09,r1112_07,0.59383754,4.6e-7
Asegurados_1998_2003,male,97,145,96,0.662069,0.337931,NA,0.94,r1112_07,0.66206897,3e-8
Asegurados_1998_2003,male,98,49,36,0.734694,0.265306,NA,0.81,r1112_07,0.73469388,1.2e-7
Asegurados_1998_2003,male,99,13,11,0.846154,0.153846,NA,0.65,r1112_07,0.84615385,1.5e-7
Asegurados_1998_2003,male,100,2,2,1,0,NA,0.5,r1112_07,1,0
BEPS_2014,female,15,1000000,293,2.93e-4,0.999707,NA,68.5,r0110_14,2.93e-4,0
BEPS_2014,female,16,999707,301,3.01e-4,0.999699,NA,67.5,r0110_14,3.0109e-4,-9e-8
BEPS_2014,female,17,999406,309,3.09e-4,0.999691,NA,66.5,r0110_14,3.0918e-4,-1.8e-7
BEPS_2014,female,18,999097,318,3.18e-4,0.999682,NA,65.5,r0110_14,3.1829e-4,-2.9e-7
BEPS_2014,female,19,998779,329,3.29e-4,0.999671,NA,64.5,r0110_14,3.294e-4,-4e-7
BEPS_2014,female,20,998450,339,3.4e-4,0.99966,NA,63.6,r0110_14,3.3953e-4,4.7e-7
BEPS_2014,female,21,998111,351,3.52e-4,0.999648,NA,62.6,r0110_14,3.5166e-4,3.4e-7
BEPS_2014,female,22,997760,364,3.65e-4,0.999635,NA,61.6,r0110_14,3.6482e-4,1.8e-7
BEPS_2014,female,23,997396,378,3.79e-4,0.999621,NA,60.6,r0110_14,3.7899e-4,1e-8
BEPS_2014,female,24,997018,393,3.94e-4,0.999606,NA,59.6,r0110_14,3.9418e-4,-1.8e-7
BEPS_2014,female,25,996625,411,4.12e-4,0.999588,NA,58.7,r0110_14,4.1239e-4,-3.9e-7
BEPS_2014,female,26,996214,429,4.31e-4,0.999569,NA,57.7,r0110_14,4.3063e-4,3.7e-7
BEPS_2014,female,27,995785,449,4.51e-4,0.999549,NA,56.7,r0110_14,4.509e-4,1e-7
BEPS_2014,female,28,995336,472,4.74e-4,0.999526,NA,55.7,r0110_14,4.7421e-4,-2.1e-7
BEPS_2014,female,29,994864,497,4.99e-4,0.999501,NA,54.8,r0110_14,4.9957e-4,-5.7e-7
BEPS_2014,female,30,994367,524,5.26e-4,0.999474,NA,53.8,r0110_14,5.2697e-4,-9.7e-7
BEPS_2014,female,31,993844,553,5.56e-4,0.999444,NA,52.8,r0110_14,5.5643e-4,-4.3e-7
BEPS_2014,female,32,993291,585,5.89e-4,0.999411,NA,51.9,r0110_14,5.8895e-4,5e-8
BEPS_2014,female,33,992706,620,6.25e-4,0.999375,NA,50.9,r0110_14,6.2456e-4,4.4e-7
BEPS_2014,female,34,992085,659,6.64e-4,0.999336,NA,49.9,r0110_14,6.6426e-4,-2.6e-7
BEPS_2014,female,35,991427,702,7.08e-4,0.999292,NA,49,r0110_14,7.0807e-4,-7e-8
BEPS_2014,female,36,990725,749,7.56e-4,0.999244,NA,48,r0110_14,7.5601e-4,-1e-8
BEPS_2014,female,37,989976,799,8.07e-4,0.999193,NA,47,r0110_14,8.0709e-4,-9e-8
BEPS_2014,female,38,989177,855,8.65e-4,0.999135,NA,46.1,r0110_14,8.6435e-4,6.5e-7
BEPS_2014,female,39,988321,918,9.28e-4,0.999072,NA,45.1,r0110_14,9.2885e-4,-8.5e-7
BEPS_2014,female,40,987404,985,9.97e-4,0.999003,NA,44.1,r0110_14,9.9757e-4,-5.7e-7
BEPS_2014,female,41,986419,1059,0.001073,0.998927,NA,43.2,r0110_14,0.00107358,-5.8e-7
BEPS_2014,female,42,985360,1139,0.001156,0.998844,NA,42.2,r0110_14,0.00115592,8e-8
BEPS_2014,female,43,984222,1228,0.001248,0.998752,NA,41.3,r0110_14,0.00124769,3.1e-7
BEPS_2014,female,44,982993,1325,0.001348,0.998652,NA,40.3,r0110_14,0.00134792,8e-8
BEPS_2014,female,45,981668,1432,0.001459,0.998541,NA,39.4,r0110_14,0.00145874,2.6e-7
BEPS_2014,female,46,980236,1549,0.00158,0.99842,NA,38.4,r0110_14,0.00158023,-2.3e-7
BEPS_2014,female,47,978687,1676,0.001712,0.998288,NA,37.5,r0110_14,0.0017125,-5e-7
BEPS_2014,female,48,977011,1816,0.001859,0.998141,NA,36.6,r0110_14,0.00185873,2.7e-7
BEPS_2014,female,49,975195,1969,0.00202,0.99798,NA,35.6,r0110_14,0.00201908,9.2e-7
BEPS_2014,female,50,973225,2137,0.002196,0.997804,NA,34.7,r0110_14,0.00219579,2.1e-7
BEPS_2014,female,51,971088,2321,0.00239,0.99761,NA,33.8,r0110_14,0.0023901,-1e-7
BEPS_2014,female,52,968767,2522,0.002603,0.997397,NA,32.9,r0110_14,0.00260331,-3.1e-7
BEPS_2014,female,53,966245,2740,0.002836,0.997164,NA,31.9,r0110_14,0.00283572,2.8e-7
BEPS_2014,female,54,963505,2980,0.003093,0.996907,NA,31,r0110_14,0.00309287,1.3e-7
BEPS_2014,female,55,960526,3213,0.003345,0.996655,NA,30.1,r0110_14,0.00334504,-4e-8
BEPS_2014,female,56,957313,3471,0.003626,0.996374,NA,29.2,r0110_14,0.00362577,2.3e-7
BEPS_2014,female,57,953842,3758,0.00394,0.99606,NA,28.3,r0110_14,0.00393986,1.4e-7
BEPS_2014,female,58,950084,4079,0.004293,0.995707,NA,27.4,r0110_14,0.0042933,-3e-7
BEPS_2014,female,59,946005,4435,0.004688,0.995312,NA,26.6,r0110_14,0.00468814,-1.4e-7
BEPS_2014,female,60,941570,4832,0.005131,0.994869,NA,25.7,r0110_14,0.00513185,-8.5e-7
BEPS_2014,female,61,936739,5270,0.005626,0.994374,NA,24.8,r0110_14,0.0056259,1e-7
BEPS_2014,female,62,931468,5759,0.006182,0.993818,NA,23.9,r0110_14,0.00618271,-7.1e-7
